candidate_id,file_path,raw_source_path,width,height,top_margin,bottom_margin,left_margin,right_margin,cutoff_risk,source_already_clipped,looks_like_gear5,wrong_form_reason,review_status,reject_reason,notes
ruffy_gear5_reextract_0011,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0011.png,assets/source/pet1_ruffy_gear5_source.png,280,281,35,0,12,0,true,false,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0012,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0012.png,assets/source/pet1_ruffy_gear5_source.png,281,281,6,0,0,12,true,false,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0013,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0013.png,assets/source/pet1_ruffy_gear5_source.png,280,281,1,0,25,29,true,true,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0014,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0014.png,assets/source/pet1_ruffy_gear5_source.png,281,281,0,0,15,35,true,true,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0015,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0015.png,assets/source/pet1_ruffy_gear5_source.png,264,281,22,0,6,48,true,false,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0016,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0016.png,assets/source/pet1_ruffy_gear5_source.png,275,269,0,48,48,43,true,true,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0017,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0017.png,assets/source/pet1_ruffy_gear5_source.png,281,270,0,48,29,34,true,true,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0018,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0018.png,assets/source/pet1_ruffy_gear5_source.png,280,271,0,48,36,40,true,true,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0019,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0019.png,assets/source/pet1_ruffy_gear5_source.png,270,270,0,48,20,48,true,true,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
ruffy_gear5_reextract_0020,assets/review/candidates/ruffy_gear5_reextract/ruffy_gear5_reextract_0020.png,assets/source/pet1_ruffy_gear5_source.png,249,276,0,48,11,48,true,true,true,,rejected,gear5_source_sheet_not_approval_safe,"Gear5 current source/reextract rejected as a set after final visual review; systematic issues with cropped parts, neighboring fragments, missing belt/sash elements, outfit inconsistencies, arm/foot/toe/knee errors. Requires new Gear5 source/template."
